78,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
79,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
80,X12,X15,X58,X172,X194,X200,X204,X263,X415,X478,X568,X710,X740
81,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
82,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
83,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
84,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
85,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
86,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X654,X740,X757
87,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
88,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
89,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
90,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
91,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
92,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
93,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
94,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
95,X12,X15,X58,X128,X172,X194,X200,X204,X263,X415,X478,X568,X740
96,X12,X15,X58,X128,X172,X194,X200,X204,X263,X415,X478,X568,X740
97,X12,X15,X58,X128,X172,X194,X200,X204,X263,X415,X478,X568,X740
98,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
99,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
100,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
101,X12,X15,X58,X172,X246,X263,X415,X478,X509,X568,X591,X740,X757
102,X12,X15,X58,X172,X246,X263,X415,X478,X509,X568,X591,X740,X757
103,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
104,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
105,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
106,X12,X15,X58,X172,X204,X263,X415,X478,X568,X591,X725,X740,X757
107,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
108,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
109,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
110,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
111,X12,X15,X58,X172,X219,X246,X263,X478,X568,X591,X654,X740,X757
112,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
113,X12,X15,X58,X172,X204,X246,X263,X478,X568,X591,X725,X740,X757
114,X12,X15,X58,X172,X246,X247,X263,X415,X478,X568,X591,X740,X757
115,X12,X15,X58,X172,X204,X263,X415,X478,X568,X591,X725,X740,X757
116,X12,X15,X58,X172,X204,X263,X415,X478,X568,X591,X725,X740,X757
117,X12,X15,X58,X172,X204,X263,X415,X478,X568,X591,X725,X740,X757
