0,X22,X33,X37,X41,X108,X114,X122,X157,X264,X350,X581,X626,X763
1,X22,X33,X37,X41,X108,X114,X122,X157,X264,X350,X581,X626,X763
2,X9,X16,X22,X27,X64,X92,X122,X125,X159,X163,X291,X691,X763
3,X9,X31,X33,X49,X105,X126,X150,X157,X159,X200,X208,X382,X536
4,X27,X35,X41,X83,X92,X111,X121,X125,X181,X186,X350,X502,X691
5,X27,X35,X41,X83,X92,X109,X118,X151,X208,X219,X303,X468,X691
6,X9,X33,X41,X83,X92,X109,X118,X151,X208,X219,X303,X468,X691
7,X9,X33,X41,X83,X92,X109,X118,X151,X208,X219,X303,X468,X691
8,X9,X33,X41,X83,X92,X109,X118,X151,X208,X219,X303,X468,X691
9,X9,X33,X41,X83,X92,X109,X118,X151,X208,X219,X303,X468,X691
10,X12,X14,X33,X49,X105,X114,X116,X159,X303,X382,X447,X608,X691
11,X2,X7,X33,X49,X105,X114,X116,X159,X303,X382,X447,X608,X691
12,X2,X7,X33,X49,X105,X114,X116,X159,X303,X382,X447,X608,X691
13,X9,X14,X33,X49,X105,X114,X116,X159,X303,X382,X447,X608,X691
14,X3,X7,X33,X52,X64,X114,X116,X159,X303,X382,X447,X608,X691
15,X7,X9,X27,X43,X105,X118,X157,X299,X382,X468,X554,X608,X763
16,X9,X33,X49,X105,X128,X163,X173,X200,X211,X291,X350,X581,X604
17,X2,X7,X24,X33,X49,X109,X118,X125,X127,X159,X275,X311,X608
18,X12,X33,X49,X105,X109,X126,X150,X157,X159,X356,X502,X581,X604
19,X12,X33,X49,X105,X109,X126,X157,X299,X382,X468,X554,X608,X691
20,X12,X33,X49,X105,X109,X126,X157,X299,X382,X468,X554,X608,X691
21,X2,X7,X8,X33,X42,X105,X157,X299,X315,X382,X468,X608,X691
22,X12,X14,X33,X49,X105,X118,X157,X173,X220,X272,X382,X608,X691
23,X12,X14,X33,X49,X105,X118,X157,X173,X220,X272,X382,X608,X691
24,X12,X14,X33,X49,X105,X118,X157,X173,X220,X272,X382,X608,X691
25,X12,X14,X33,X49,X105,X118,X157,X173,X220,X272,X382,X608,X691
26,X35,X41,X45,X105,X118,X150,X157,X159,X264,X356,X502,X581,X763
27,X2,X7,X31,X33,X42,X105,X118,X157,X382,X468,X554,X581,X604
28,X9,X33,X41,X45,X105,X118,X150,X157,X299,X311,X315,X468,X691
29,X12,X14,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
30,X3,X7,X8,X22,X33,X42,X111,X128,X150,X219,X356,X472,X691
31,X1,X9,X27,X33,X42,X105,X118,X157,X299,X382,X468,X554,X691
32,X8,X22,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
33,X8,X22,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
34,X8,X22,X33,X49,X105,X118,X151,X159,X173,X187,X275,X291,X382
35,X8,X22,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
36,X8,X22,X33,X49,X105,X118,X157,X159,X173,X220,X272,X350,X356
37,X5,X12,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
38,X10,X12,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
39,X22,X23,X33,X49,X90,X109,X157,X173,X187,X220,X272,X608,X691
40,X5,X12,X33,X49,X105,X118,X157,X159,X173,X187,X275,X291,X382
41,X12,X23,X33,X73,X83,X125,X157,X299,X382,X468,X554,X691,X763
42,X22,X35,X39,X43,X52,X64,X111,X122,X150,X219,X356,X554,X763
43,X22,X35,X39,X43,X52,X64,X111,X122,X150,X219,X356,X554,X763
44,X3,X17,X27,X91,X105,X111,X128,X150,X272,X356,X502,X608,X691
45,X22,X23,X33,X49,X105,X109,X118,X150,X151,X157,X272,X581,X615
46,X12,X27,X31,X41,X45,X91,X105,X111,X128,X150,X356,X502,X581
47,X5,X14,X17,X27,X33,X49,X105,X128,X220,X272,X356,X581,X604
48,X8,X35,X41,X45,X105,X157,X173,X187,X220,X356,X502,X581,X604
49,X5,X14,X27,X33,X49,X105,X118,X157,X173,X350,X382,X581,X604
50,X5,X14,X17,X27,X33,X49,X105,X118,X220,X272,X554,X615,X691
