68,X8,X18,X22,X23,X26,X103,X108,X111,X151,X299,X350,X472,X502
69,X3,X7,X8,X13,X18,X22,X23,X26,X105,X114,X151,X303,X472
70,X17,X18,X33,X49,X103,X114,X197,X200,X201,X220,X270,X303,X472
71,X17,X18,X33,X37,X41,X52,X122,X151,X197,X220,X303,X502,X536
72,X4,X8,X13,X16,X18,X23,X26,X90,X103,X114,X197,X270,X303
73,X26,X27,X33,X49,X103,X114,X121,X122,X125,X303,X382,X421,X608
74,X8,X13,X18,X22,X23,X24,X26,X114,X150,X151,X303,X472,X502
75,X8,X13,X18,X22,X23,X24,X26,X114,X150,X151,X303,X472,X502
76,X8,X13,X18,X22,X23,X24,X26,X114,X150,X151,X303,X502,X536
77,X8,X10,X13,X18,X23,X33,X103,X118,X122,X303,X350,X472,X502
78,X4,X13,X23,X49,X103,X114,X121,X122,X151,X220,X303,X447,X472
79,X17,X18,X33,X37,X41,X52,X103,X114,X151,X201,X249,X303,X472
80,X17,X18,X33,X37,X41,X52,X103,X114,X151,X201,X249,X303,X472
81,X12,X26,X33,X49,X64,X122,X125,X151,X201,X249,X303,X472,X615
82,X3,X13,X18,X22,X23,X30,X103,X105,X201,X219,X249,X303,X472
83,X8,X13,X18,X22,X23,X30,X103,X105,X201,X219,X249,X303,X472
84,X3,X13,X18,X22,X23,X30,X103,X105,X201,X219,X249,X303,X472
85,X17,X18,X33,X37,X41,X52,X103,X118,X122,X201,X270,X303,X472
86,X4,X8,X18,X22,X23,X52,X103,X118,X122,X201,X270,X303,X472
87,X2,X10,X13,X18,X23,X26,X103,X122,X151,X157,X303,X350,X472
88,X3,X8,X13,X18,X22,X23,X26,X118,X122,X272,X303,X472,X502
89,X3,X8,X13,X18,X26,X90,X103,X122,X151,X303,X350,X472,X581
90,X3,X23,X42,X68,X92,X103,X122,X125,X220,X303,X382,X502,X536
91,X3,X8,X23,X42,X68,X92,X125,X128,X151,X303,X350,X472,X502
92,X3,X14,X18,X23,X26,X27,X118,X122,X249,X303,X421,X472,X502
93,X1,X3,X14,X18,X26,X27,X118,X122,X249,X303,X421,X502,X536
94,X3,X14,X18,X23,X26,X27,X103,X118,X122,X151,X303,X472,X626
95,X3,X14,X18,X23,X26,X27,X118,X122,X249,X303,X421,X502,X536
96,X3,X14,X16,X18,X23,X26,X43,X118,X151,X163,X173,X220,X472
97,X8,X14,X16,X18,X23,X26,X43,X118,X151,X163,X173,X220,X472
98,X3,X14,X18,X23,X26,X27,X118,X122,X249,X275,X303,X472,X626
99,X8,X14,X16,X18,X23,X26,X43,X125,X197,X249,X421,X472,X626
100,X3,X14,X18,X23,X26,X27,X118,X122,X249,X270,X303,X502,X536
101,X3,X8,X13,X22,X23,X26,X90,X114,X151,X187,X200,X208,X421
102,X3,X8,X13,X23,X26,X27,X125,X249,X272,X303,X421,X472,X502
103,X3,X13,X22,X23,X26,X27,X90,X103,X151,X249,X303,X536,X554
104,X4,X8,X13,X22,X26,X27,X118,X122,X151,X163,X303,X472,X502
105,X3,X8,X13,X18,X19,X23,X103,X118,X122,X187,X249,X303,X536
106,X4,X8,X13,X18,X23,X26,X103,X118,X122,X187,X249,X303,X536
107,X3,X18,X22,X23,X33,X103,X122,X125,X150,X249,X303,X382,X554
108,X3,X18,X22,X23,X94,X114,X122,X151,X187,X249,X265,X303,X350
109,X24,X26,X27,X33,X68,X114,X122,X151,X173,X272,X303,X472,X502
110,X3,X8,X13,X18,X19,X23,X42,X122,X303,X382,X421,X472,X502
111,X3,X8,X13,X18,X19,X23,X42,X122,X303,X382,X421,X472,X502
112,X3,X8,X13,X18,X19,X23,X42,X122,X303,X382,X421,X472,X502
113,X1,X3,X14,X18,X23,X26,X83,X151,X173,X249,X468,X472,X502
114,X3,X8,X23,X26,X27,X91,X114,X122,X303,X382,X421,X502,X738
115,X1,X3,X13,X18,X19,X23,X73,X151,X201,X249,X303,X536,X554
116,X3,X8,X13,X18,X23,X26,X118,X122,X200,X208,X264,X536,X554
117,X1,X3,X18,X19,X23,X90,X91,X103,X114,X187,X303,X536,X554
118,X4,X9,X24,X26,X27,X33,X52,X83,X90,X103,X114,X303,X472
119,X4,X9,X24,X26,X27,X33,X52,X83,X90,X103,X114,X303,X472
120,X13,X18,X23,X26,X41,X90,X122,X125,X151,X303,X382,X421,X738
121,X3,X13,X18,X23,X26,X90,X122,X125,X151,X173,X249,X303,X502
