68,X8,X11,X30,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
69,X8,X11,X30,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
70,X8,X11,X30,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
71,X3,X5,X7,X30,X49,X144,X157,X186,X229,X299,X447,X472,X581
72,X3,X5,X7,X30,X49,X144,X157,X186,X229,X299,X447,X472,X581
73,X3,X5,X7,X30,X49,X144,X157,X186,X229,X291,X447,X472,X581
74,X8,X22,X30,X49,X144,X157,X186,X229,X299,X311,X447,X472,X581
75,X11,X16,X49,X73,X144,X157,X186,X197,X229,X303,X311,X447,X472
76,X11,X16,X49,X73,X144,X157,X186,X197,X229,X303,X311,X447,X472
77,X1,X16,X30,X49,X73,X144,X157,X229,X291,X299,X447,X472,X763
78,X8,X22,X30,X37,X49,X144,X157,X229,X264,X272,X291,X447,X472
79,X1,X8,X16,X22,X23,X37,X100,X103,X187,X197,X264,X604,X615
80,X8,X22,X30,X37,X49,X144,X157,X229,X264,X272,X291,X447,X472
81,X8,X22,X30,X37,X49,X144,X157,X229,X264,X272,X291,X447,X472
82,X8,X22,X30,X37,X49,X144,X157,X229,X264,X272,X291,X447,X472
83,X8,X22,X30,X37,X49,X144,X157,X229,X264,X272,X291,X447,X472
84,X8,X16,X22,X30,X49,X73,X144,X157,X173,X187,X197,X264,X604
85,X8,X16,X22,X23,X30,X49,X73,X144,X157,X173,X187,X197,X264
86,X8,X16,X22,X23,X30,X49,X73,X144,X157,X173,X187,X197,X264
87,X1,X16,X22,X23,X30,X49,X73,X144,X173,X187,X197,X264,X608
88,X8,X12,X22,X30,X49,X73,X144,X157,X173,X187,X197,X264,X604
89,X8,X12,X22,X30,X49,X73,X144,X157,X173,X187,X197,X264,X604
90,X8,X16,X22,X30,X49,X73,X144,X157,X173,X187,X197,X264,X604
91,X8,X22,X29,X30,X49,X73,X100,X103,X105,X116,X197,X264,X738
92,X8,X16,X22,X30,X49,X73,X144,X157,X173,X187,X197,X264,X604
93,X1,X8,X16,X49,X68,X73,X144,X157,X187,X197,X264,X604,X738
94,X1,X8,X16,X24,X29,X30,X35,X41,X103,X187,X197,X264,X604
95,X8,X16,X30,X49,X73,X144,X157,X173,X229,X291,X299,X311,X472
96,X1,X8,X22,X100,X157,X159,X211,X229,X264,X291,X299,X311,X604
97,X8,X16,X18,X30,X39,X49,X73,X144,X157,X291,X299,X311,X472
98,X8,X16,X37,X49,X73,X96,X144,X157,X173,X291,X299,X311,X604
99,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X604
100,X8,X16,X37,X49,X73,X96,X144,X157,X173,X291,X299,X311,X604
101,X1,X8,X22,X30,X73,X144,X157,X219,X229,X291,X299,X311,X472
102,X1,X8,X22,X30,X73,X144,X157,X219,X229,X291,X299,X311,X472
103,X8,X11,X29,X30,X39,X49,X173,X229,X291,X447,X472,X554,X604
104,X8,X22,X30,X49,X73,X144,X157,X186,X291,X299,X311,X472,X581
105,X8,X22,X30,X49,X73,X144,X157,X186,X291,X299,X311,X472,X581
106,X8,X16,X37,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
107,X8,X12,X37,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
