,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si,Moeq,Bo,Md
0,0.12107801625610529,0.6657008730763593,0.05919722341164279,0.1027864618461711,0.0,0.0,0.0,0.040499932245983174,0.0,0.0,0.0,0.01073749316373832,13.49,2.770488200627731,2.318180177229579
1,0.1131187596832689,0.7269045952539989,0.02496442337833518,0.11498284619086888,0.0,0.0,0.0,0.01821810591084825,0.0,0.0,0.0,0.0018112695826799368,6.955,2.7817818398429024,2.374686773330144
2,0.035195864478549964,0.8808714521903281,0.06058612048841357,0.0,0.0,0.0,0.0,0.0,0.022829996907460067,0.0,0.0005165659352481696,0.0,6.4430000000000005,2.77801941675946,2.3811536229639136
3,0.11580306580535137,0.6636461362217513,0.08178185181997802,0.13732995156075276,0.0014389945921664375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.345000000000001,2.7920187709420503,2.3683343646094355
4,0.15192992122644702,0.6444477998903889,0.0,0.13237163803840418,0.0022654978969272902,0.0,0.0,0.0,0.0689851429478324,0.0,0.0,0.0,10.120000000000001,2.7756434945105255,2.3397724600890757
5,0.13857523507282207,0.681815268664369,0.0,0.1379841496099548,0.0026567485003279523,0.0,0.03896859815252615,0.0,0.0,0.0,0.0,0.0,6.945,2.7937746329277244,2.3908827096678835
6,0.11601030707512251,0.7116991312358981,0.0,0.13757571736445692,0.0020181977454394526,0.0,0.0,0.032696646579083014,0.0,0.0,0.0,0.0,11.185,2.7864527530176653,2.3670250976197944
7,0.16119917899753963,0.6606482720100125,0.0,0.13493989252759533,0.001979530923670063,0.0,0.0,0.0412331255411823,0.0,0.0,0.0,0.0,11.584999999999999,2.7679892751326767,2.3433039063071934
8,0.04429228579363707,0.8588641289775146,0.06099575171250011,0.012863479810603356,0.0,0.0,0.0,0.0,0.022984353705744972,0.0,0.0,0.0,6.555000000000001,2.7785145316175175,2.378419549397774
9,0.11969200411496732,0.7110174871384278,0.0,0.03208731725562196,0.0,0.03267894739269067,0.023302013785441483,0.0,0.08122223031285072,0.0,0.0,0.0,12.260000000000002,2.7714880651923597,2.342583594194087
10,0.0,0.8480128670933212,0.07341748758516577,0.0,0.001653528594983537,0.013666117295753726,0.0,0.0,0.05274812187886074,0.01050187755191507,0.0,0.0,12.725000000000001,2.789827100896457,2.3568221585524105
