,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si
0,1,85,0,0,0,2.7,8.5,0,2.8,0,0,0
1,4,78.8,4.4,2.4,0,0,5.2,0,5.2,0,0,0
2,5,78.8,5,0,0,0,5,0.6,3,0,0,0
3,3,78.8,5,0,0,0,6,2,0,0,0,0
4,3,78.8,5,0,0,0,6,2,0,0,0,0
