0,X24,X180,X248,X295,X299,X367,X437,X505,X598,X601,X628,X658,X725
1,X24,X180,X248,X295,X299,X367,X437,X505,X598,X601,X628,X658,X733
2,X31,X43,X70,X278,X281,X297,X327,X480,X488,X565,X657,X658,X753
3,X1,X37,X102,X194,X302,X416,X499,X530,X608,X612,X683,X747,X751
4,X1,X37,X102,X194,X302,X416,X499,X530,X608,X612,X683,X747,X751
5,X56,X112,X125,X168,X307,X325,X350,X351,X354,X476,X507,X616,X747
6,X13,X46,X105,X164,X167,X400,X535,X556,X597,X599,X627,X636,X677
7,X56,X112,X125,X168,X307,X325,X350,X351,X354,X476,X507,X616,X656
8,X54,X131,X143,X243,X307,X325,X350,X351,X354,X476,X507,X616,X656
9,X46,X152,X209,X210,X223,X232,X431,X469,X502,X628,X641,X720,X723
10,X68,X90,X125,X168,X307,X325,X350,X351,X354,X399,X476,X507,X616
11,X46,X152,X209,X210,X298,X310,X337,X354,X433,X502,X543,X700,X717
12,X68,X90,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
13,X54,X131,X143,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
14,X46,X125,X168,X169,X350,X351,X354,X433,X502,X543,X607,X700,X747
15,X68,X90,X125,X243,X307,X325,X350,X351,X354,X399,X507,X616,X737
16,X56,X112,X125,X168,X350,X351,X354,X414,X433,X502,X543,X700,X747
17,X68,X70,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
18,X68,X125,X282,X348,X351,X401,X414,X433,X502,X543,X659,X700,X717
19,X68,X90,X125,X243,X350,X351,X354,X414,X433,X502,X543,X700,X747
20,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
21,X68,X125,X282,X348,X351,X401,X414,X433,X502,X543,X659,X700,X717
22,X68,X131,X143,X170,X294,X307,X325,X350,X351,X354,X399,X476,X507
23,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
24,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
25,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
26,X1,X43,X58,X60,X69,X243,X350,X351,X354,X399,X476,X507,X616
27,X68,X125,X294,X307,X310,X325,X350,X351,X354,X399,X476,X507,X747
28,X1,X43,X58,X60,X69,X243,X350,X351,X354,X399,X476,X507,X616
29,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
30,X34,X57,X58,X282,X307,X310,X325,X350,X354,X399,X476,X507,X747
31,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X747
32,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X616
33,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
34,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X747
35,X68,X70,X181,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
36,X1,X294,X307,X310,X325,X333,X350,X351,X399,X414,X476,X507,X616
37,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X747
38,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X713,X725
39,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
40,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
41,X1,X43,X125,X243,X307,X310,X325,X350,X354,X399,X423,X476,X507
42,X1,X43,X125,X243,X307,X310,X325,X350,X354,X399,X476,X507,X747
43,X68,X70,X181,X294,X307,X310,X350,X354,X399,X423,X476,X507,X713
44,X1,X43,X49,X125,X294,X307,X310,X325,X350,X354,X399,X507,X747
45,X1,X43,X125,X243,X307,X310,X325,X350,X354,X399,X476,X507,X713
46,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
47,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X582,X747
48,X1,X125,X142,X294,X307,X310,X325,X350,X354,X399,X476,X507,X747
49,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X582,X747
50,X43,X125,X142,X294,X307,X310,X325,X333,X350,X476,X507,X574,X747
51,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
52,X1,X43,X125,X243,X307,X310,X325,X350,X354,X399,X476,X507,X747
53,X1,X43,X125,X243,X307,X325,X350,X351,X354,X399,X476,X507,X713
54,X1,X43,X125,X130,X243,X307,X325,X350,X354,X399,X476,X582,X747
55,X43,X125,X142,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
56,X43,X125,X142,X294,X307,X310,X325,X350,X354,X399,X476,X582,X747
57,X1,X125,X142,X294,X307,X310,X325,X350,X354,X399,X476,X507,X713
58,X43,X125,X142,X294,X307,X310,X325,X350,X354,X399,X476,X582,X747
59,X43,X125,X142,X294,X307,X310,X325,X333,X350,X399,X476,X507,X713
60,X1,X43,X125,X294,X307,X310,X325,X350,X354,X399,X476,X507,X747
61,X43,X104,X125,X294,X307,X310,X325,X333,X350,X354,X399,X476,X713
62,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
63,X43,X125,X142,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
64,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X713
65,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X617,X713
66,X1,X43,X125,X294,X307,X310,X325,X350,X399,X476,X582,X701,X747
67,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
68,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
69,X1,X43,X125,X142,X294,X307,X310,X325,X333,X350,X399,X582,X747
70,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X607
71,X1,X43,X125,X142,X294,X307,X310,X325,X333,X350,X399,X582,X747
72,X1,X43,X125,X307,X310,X325,X333,X350,X399,X440,X476,X582,X713
73,X43,X125,X142,X294,X310,X325,X350,X351,X354,X399,X476,X582,X713
74,X1,X43,X125,X294,X307,X310,X325,X350,X399,X476,X582,X713,X747
75,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
76,X1,X43,X125,X294,X307,X310,X325,X350,X399,X476,X582,X713,X747
77,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
78,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X713
79,X43,X79,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
80,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X713
81,X1,X43,X125,X294,X307,X310,X325,X350,X399,X476,X582,X701,X747
82,X43,X79,X125,X126,X294,X307,X310,X325,X333,X350,X399,X582,X747
83,X43,X125,X142,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
84,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X713
85,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X582,X602,X747
86,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
87,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X747
88,X1,X43,X125,X294,X307,X310,X325,X333,X350,X399,X476,X582,X713
