,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta,Moeq,Bo,Md
0,0.006842155698758862,0.03871110854142681,0.9544467357598144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.45,2.7830523022577265,2.3880949691181783
1,0.005136903871678523,0.0,0.91624842483907,0.0786146712892515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.400000000000002,2.787958887629204,2.3695535682644104
2,0.00854329062352534,0.0,0.8972561215857678,0.0,0.09420058779070677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.789456595264073,2.3907244692363325
3,0.011223632864229295,0.0,0.863607314357776,0.0,0.0,0.12516905277799478,0.0,0.0,0.0,0.0,0.0,0.0,-10.3,2.7418682528629015,2.413311006646371
4,0.0,0.0,0.9426846176770668,0.0,0.0,0.0,0.05539136401692998,0.001924018306003206,0.0,0.0,0.0,0.0,-1.3920000000000001,2.807040389881522,2.473254087411494
5,0.0,0.0,0.9209684265629079,0.0,0.0,0.0,0.022608185941776226,0.0,0.0564233874953159,0.0,0.0,0.0,9.82,2.812095607824987,2.430588420230922
6,0.0,0.0,0.9049084127824534,0.04358980866953084,0.0,0.0,0.0,0.0,0.0,0.051501778548015784,0.0,0.0,9.86,2.805434561675972,2.4035769344926203
7,0.0,0.0,0.8630307053493212,0.0,0.0,0.10498603074546449,0.0,0.0,0.03198326390521417,0.0,0.0,0.0,0.5,2.7605165158547744,2.4055245841479356
8,0.0017082557389920805,0.0,0.9962710062258975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002020738035110462,0.0,-0.5650000000000001,2.78858429525197,2.4458768647342857
9,0.0,0.0,0.9293232409006487,0.0,0.0,0.03603609900807488,0.03464066009127639,0.0,0.0,0.0,0.0,0.0,-3.105,2.7871364953480784,2.4549690850094574
10,0.0,0.0,0.9581324971351323,0.04160600184082318,0.0,0.0,0.0,0.00026150102404451234,0.0,0.0,0.0,0.0,7.244,2.789629936822806,2.4065857213322257
11,0.0,0.0,0.7824512273966705,0.08294557216920323,0.0,0.13460320043412619,0.0,0.0,0.0,0.0,0.0,0.0,7.200000000000001,2.7400920337481165,2.3333787500608127
12,0.0,0.0,0.9819009605682624,0.0,0.0,0.0,0.0,0.0,0.007614175120275998,0.010484864311461506,0.0,0.0,2.06,2.7953184928800767,2.4430583590123818
13,0.006843464120087643,0.0,0.9907666390472395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023898968326728576,-1.375,2.7892788701952664,2.445510415696283
14,0.0,0.0,0.9420958541227108,0.019489529552961203,0.0,0.0,0.0,0.0,0.0,0.0,0.038414616324327924,0.0,0.22999999999999998,2.7703094046984833,2.4147847739986386
15,0.0,0.021569355364893385,0.9773823063841471,0.0,0.0,0.0,0.0,0.0010483382509595047,0.0,0.0,0.0,0.0,7.426,2.7873530529183514,2.414727365926578
16,0.0,0.0,0.8134838953660379,0.0,0.0,0.0,0.0,0.0,0.0,0.14792573500408182,0.038590369629880175,0.0,4.08,2.8161437347139113,2.4302068498333376
17,0.01366099273721511,0.0,0.8686595320064008,0.0,0.11767947525638421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.175,2.788636824792024,2.3759600365214872
18,0.0,0.0,0.9200163348076573,0.0,0.03907261489425162,0.0,0.040911050298091084,0.0,0.0,0.0,0.0,0.0,1.405,2.8026957601116487,2.444456927930976
19,0.012666330989895056,0.0,0.916224302306653,0.0,0.0,0.0,0.0,0.0,0.0,0.07110936670345196,0.0,0.0,0.8400000000000007,2.8090722045146808,2.4422359008113164
20,0.0,0.0,0.9112144861150163,0.08825163187977597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005338820052077575,15.250000000000002,2.7892182262791665,2.3615290147969343
21,0.0,0.0,0.8478805753119961,0.0,0.0,0.115705340593043,0.0,0.0,0.0,0.0,0.03641408409496105,0.0,-9.47,2.729421315387988,2.4057850936925673
22,0.005246605198462447,0.0,0.966598800794468,0.0,0.0,0.0,0.0,0.0,0.028154594007069586,0.0,0.0,0.0,4.3,2.7964847315734827,2.4320209558285444
23,0.005109803993711939,0.0,0.9943614664074958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005287295987922857,-1.15,2.789017025163412,2.4457822916998517
24,0.0,0.0,0.8898656925993657,0.0,0.04112217730191439,0.06901213009872006,0.0,0.0,0.0,0.0,0.0,0.0,-0.9849999999999999,2.765496417303595,2.406308751917016
25,0.015432392030906995,0.0,0.7907723992817738,0.0,0.19379520868731911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.135000000000002,2.789372910355232,2.3317559541731576
26,0.0,0.0,0.9378206292192282,0.0,0.0,0.0,0.0,0.0011086642991842285,0.061070706481587515,0.0,0.0,0.0,11.676,2.8070437054096997,2.4169038875377544
27,0.015276311693409622,0.0,0.9839457741531427,0.0,0.0,0.0,0.0,0.0007779141534475797,0.0,0.0,0.0,0.0,-3.468,2.786762325863614,2.442935033204185
28,0.0,0.0,0.9673200248253998,0.013842049516458642,0.01883792565814151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,2.790130306340191,2.42275524676512
29,0.0,0.0,0.9350271353668689,0.028692555766216567,0.0,0.0,0.0,0.0,0.036280308866914635,0.0,0.0,0.0,11.8,2.7995889062072394,2.4015646833532163
30,0.0,0.03533088808772674,0.9480483264244532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016620785487819898,0.0,10.28,2.7766622683134807,2.389013534842066
