,Ti,Mo,Al,Sn,V,Zr,Cr,Nb,Ta,Fe,W,Si,O,Moeq,Bo,Md,fliter,Yield,Elongation,Forging temperature,Processing temperature,Deformation amount,transition temperature,solution temperature,time,Cooling method,second solution,time.1,cooling method.1,ageing temperature ,time.2,cooling method.2,second ageing temperature,time.3,cooling method.3,annealing temperature,time.4,cooling method.4,second annealing temperature,time.5,cooling method.5
165,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1251.93,11.6534,0,0,0,830.0,750,0.5833333333333330,4,0,0,0,520,8.0,2,0,0,0,0,0.0,0,0,0,0
166,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1183.64,6.54141,0,0,0,830.0,850,0.5833333333333330,4,0,0,0,520,8.0,2,0,0,0,0,0.0,0,0,0,0
167,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1216.29,6.0193,0,0,0,830.0,900,0.5833333333333330,4,0,0,0,520,8.0,2,0,0,0,0,0.0,0,0,0,0
168,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1210.61,6.51291,0,0,0,830.0,950,0.5833333333333330,4,0,0,0,520,8.0,2,0,0,0,0,0.0,0,0,0,0
169,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,957.377,10.9091,0,0,0,830.0,750,0.5833333333333330,4,0,0,0,420,8.0,2,0,0,0,0,0.0,0,0,0,0
170,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,987.794,7.31405,0,0,0,830.0,750,0.5833333333333330,4,0,0,0,470,8.0,2,0,0,0,0,0.0,0,0,0,0
171,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1186.96,6.07438,0,0,0,830.0,750,0.5833333333333330,4,0,0,0,520,8.0,2,0,0,0,0,0.0,0,0,0,0
172,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1054.88,6.69421,0,0,0,830.0,750,0.5833333333333330,4,0,0,0,570,8.0,2,0,0,0,0,0.0,0,0,0,0
173,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,885.294,14.5041,0,0,0,830.0,750,0.5833333333333330,4,0,0,0,620,8.0,2,0,0,0,0,0.0,0,0,0,0
174,0.8447498685553470,0.07991607372572520,0.05683750110431650,0.0,0.0,0.0,0.0,0.014856204220577800,0.0,0.0,0.0,0.0036403523940339800,0.0,11.956,2.7948851641310800,2.392881065658130,TRUE,1137.6,6.19792,0,0,0,830.0,855,0.5833333333333330,4,0,0,0,520,4.0,2,0,0,0,0,0.0,0,0,0,0
