,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X16,X17,X18,X19,X22,X23,X24,X26,X27,X29,X30,X31,X33,X35,X37,X39,X41,X42,X43,X45,X49,X52,X64,X68,X72,X73,X83,X90,X91,X92,X94,X96,X100,X103,X105,X108,X109,X111,X114,X116,X118,X121,X122,X125,X126,X127,X128,X144,X150,X151,X157,X159,X163,X173,X181,X186,X187,X197,X200,X201,X208,X211,X219,X220,X229,X249,X264,X265,X270,X272,X275,X291,X299,X303,X311,X315,X350,X356,X382,X421,X447,X468,X472,X502,X536,X554,X581,X604,X608,X615,X626,X691,X738,X763
0,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
1,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
2,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
3,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
4,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
5,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
6,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
7,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
8,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
9,-0.818803,0.670946,-0.832996,0.072133,0.006639,-0.128868,0.293626,-1.662399,-0.002836,-1.441861,0.178934,0.295629,-0.245328,-0.272817,-0.91834,0.679873,0.721667,-2.69684,-0.703929,0.603359,0.892902,0.630367,0.019373,1.061288,1.73237,0.190268,-1.784842,1.581958,-0.501932,1.883768,-0.272974,-0.312362,0.001176,1.810179,0.112058,1.325606,0.242558,0.763945,-1.024623,-1.020035,-0.636443,0.977587,-0.025083,0.647195,0.101243,-0.855225,1.587101,0.624027,-1.071374,1.174761,0.265303,0.062105,-0.378224,-1.565313,-0.124902,-0.220411,0.009266,-1.865513,1.790201,1.863521,-1.816217,0.291508,-0.96691,0.220913,-0.181241,-2.285972,-0.458087,0.398799,0.116495,0.189804,-0.12103,0.84243,0.296198,0.917618,-0.020234,-1.352688,-0.656421,0.331137,-0.521553,-2.254791,0.307668,-0.088239,0.098473,0.206233,-0.427893,0.999562,0.836085,-0.558563,1.435802,-0.498727,-0.694366,-1.302166,-1.680066,0.89059,-0.341798,0.999661,-0.917052,0.311693,0.383499,-1.101928,0.916178,-1.304517,0.252309,0.083892,-0.189643,1.073836,-1.10252,-0.461653
