,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta,Moeq,Bo,Md,fliter
773,0.0,0.0,0.9636802051698776,0.0,0.0,0.0,0.0027186111406299,0.0,0.0336011836894924,0.0,0.0,0.0,6.415,2.799977832044858,2.431993788352393,False
805,0.0017696256543162,0.0,0.959382065459698,0.0,0.0,0.0,0.0,0.0,0.0388483088859857,0.0,0.0,0.0,7.1,2.8002003440510355,2.427682624344795,False
809,0.0,0.0,0.7643377651377125,0.0,0.2080304096696268,0.0,0.0,0.0,0.0,0.0,0.0276318251926607,0.0,11.925,2.7791111207723653,2.317794271098111,False
826,0.0,0.0,0.8055480785068035,0.0838691148865638,0.0,0.1105828066066326,0.0,0.0,0.0,0.0,0.0,0.0,8.700000000000001,2.748825298131434,2.3384168744430816,False
828,0.0,0.0,0.8492371060975267,0.0,0.0991273050695586,0.0,0.0,0.0,0.0,0.0516355888329147,0.0,0.0,9.36,2.8074423065254144,2.388814181041847,False
833,0.0,0.0,0.8808305476769955,0.0724003423093925,0.0,0.0,0.0467691100136118,0.0,0.0,0.0,0.0,0.0,10.555,2.803047252798626,2.3996206248788274,False
835,0.0,0.0,0.8011829901999925,0.0,0.1748488341464245,0.0,0.0,0.0,0.0,0.023968175653583,0.0,0.0,13.32,2.800028898789153,2.345910652325774,False
849,0.0,0.0267837326476376,0.9322254768337672,0.0,0.0,0.0,0.040990790518595,0.0,0.0,0.0,0.0,0.0,7.424999999999999,2.7984103351554825,2.427376158129348,False
861,0.0,0.0,0.9640753358717016,0.0,0.0,0.0,0.0,0.0,0.0337237472168801,0.0,0.0,0.0022009169114184,6.7,2.799985707576851,2.430795135873156,False
890,0.0,0.0311791897446357,0.9457715781962271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230492320591369,0.0,8.335,2.773980131971513,2.392919074032908,False
902,0.0,0.0,0.7376571180994764,0.0,0.2094349925711594,0.0,0.052907889329364,0.0,0.0,0.0,0.0,0.0,12.455,2.808802260130059,2.352341021374984,False
912,0.0,0.0,0.928953287896615,0.0,0.0,0.0,0.0,0.0013981184641503,0.0696485936392346,0.0,0.0,0.0,13.22,2.809482435749002,2.4126264890672755,False
933,0.0,0.0,0.7535043404155773,0.0,0.2144006449885447,0.0,0.0,0.0,0.0,0.0,0.0320950145958779,0.0,11.93,2.7769438372747186,2.312582659066817,False
937,0.0,0.0315050763933346,0.9189008038866922,0.0,0.0,0.0,0.0495941197199732,0.0,0.0,0.0,0.0,0.0,8.620000000000001,2.800300653818439,2.4245878333942783,False
946,0.0,0.0,0.8215909172145723,0.0,0.128666236223908,0.0,0.0497428465615196,0.0,0.0,0.0,0.0,0.0,7.180000000000001,2.8066538761255684,2.397241680446713,False
960,0.0,0.0,0.8405663524787372,0.0,0.1267624291007532,0.0,0.0326712184205096,0.0,0.0,0.0,0.0,0.0,7.690000000000001,2.8015721170889822,2.390022486637855,False
963,0.0,0.0382252978964281,0.926612301473917,0.0,0.0,0.0351624006296548,0.0,0.0,0.0,0.0,0.0,0.0,11.05,2.7718875697632024,2.381817896753555,False
967,0.0,0.0,0.6766760185785331,0.0,0.188062389264364,0.1352615921571027,0.0,0.0,0.0,0.0,0.0,0.0,6.07,2.74358571629378,2.305454512910186,False
968,0.0,0.0,0.9260755740653396,0.0,0.0,0.0,0.0,0.0014018907841938,0.0725225351504666,0.0,0.0,0.0,13.72,2.8102682855087826,2.4112283388728004,False
983,0.0036603697608433,0.0,0.9213411525806884,0.0,0.0,0.0,0.0,0.0,0.0749984776584683,0.0,0.0,0.0,13.2,2.8096363597255287,2.409646628527056,False
1006,0.0,0.0,0.8491939664713685,0.0456872442158094,0.0,0.0,0.0,0.0,0.0,0.105118789312822,0.0,0.0,12.38,2.821979146211288,2.4003113282006856,False
1020,0.0,0.0,0.9556746239977476,0.0,0.0,0.0,0.0,0.0024582745498286,0.0418671014524237,0.0,0.0,0.0,8.396,2.802253240670704,2.425730735737936,False
1053,0.0,0.0172127663976771,0.9639177950353588,0.0,0.018869438566964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,2.787890467049228,2.410709604088229,False
1060,0.0,0.0,0.909536700458075,0.0,0.0,0.0,0.0,0.0,0.065208803099159,0.0252544964427659,0.0,0.0,13.26,2.8156056426468856,2.414727668275625,False
1079,0.0,0.0259211615884467,0.9727664950070468,0.0,0.0,0.0,0.0,0.0013123434045064,0.0,0.0,0.0,0.0,8.92,2.786836593579716,2.4081963943955857,False
1080,0.0,0.0,0.9162401385535432,0.0,0.0393569531396646,0.0,0.0,0.0,0.044402908306792,0.0,0.0,0.0,11.18,2.802712348264849,2.402789938507592,False
1085,0.0,0.0,0.7696660540290974,0.0,0.1918712137239471,0.0,0.0384627322469554,0.0,0.0,0.0,0.0,0.0,11.875000000000002,2.8042630369509576,2.3554054027129974,False
1101,0.0,0.0,0.8683517872039063,0.0449660256297124,0.0,0.0,0.0,0.0,0.0,0.0866821871663812,0.0,0.0,11.54,2.816290169552485,2.401434230859981,False
1110,0.0,0.0,0.8864550934058324,0.0676027472510172,0.0,0.0,0.0,0.0,0.0,0.0459421593431503,0.0,0.0,13.580000000000002,2.8034524970172723,2.380436268248872,False
1121,0.0,0.0,0.804799989737108,0.0,0.148278438565451,0.0,0.0469215716974409,0.0,0.0,0.0,0.0,0.0,8.605,2.806112961800924,2.3845907032415194,False
1122,0.0,0.0354398599288875,0.9458040845581412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187560555129712,0.0,10.115,2.775564539324808,2.388111535762103,False
1139,0.0,0.0,0.905926900650864,0.0482073576062708,0.0,0.0,0.0,0.0,0.0,0.045865741742865,0.0,0.0,10.38,2.803642233264876,2.3992321584194376,False
1163,0.0,0.0,0.8806869216336874,0.0585542831726282,0.0,0.0607587951936842,0.0,0.0,0.0,0.0,0.0,0.0,6.9,2.7672397014346,2.375253477192883,False
1198,0.0,0.0,0.9562887381475478,0.0,0.0,0.0,0.0,0.0019090288950864,0.0418022329573658,0.0,0.0,0.0,8.308,2.8020515342772145,2.4259682289470623,False
1212,0.0,0.0,0.9581652524998012,0.0,0.0,0.0,0.0054648681484239,0.0,0.0363698793517746,0.0,0.0,0.0,6.83,2.801546578034968,2.43198562942332,False
1226,0.0,0.0215212883190622,0.9782172111704552,0.0,0.0,0.0,0.0,0.0002615005104826,0.0,0.0,0.0,0.0,7.294,2.787096143594662,2.415093473172995,False
1248,0.0,0.0172559242286978,0.9814336195477495,0.0,0.0,0.0,0.0,0.0013104562235525,0.0,0.0,0.0,0.0,6.02,2.788040429367101,2.4210043229061524,False
1266,0.0,0.0,0.8231178677378018,0.0,0.0,0.0,0.0,0.0,0.0174737210093933,0.1594084112528047,0.0,0.0,10.420000000000002,2.8440275249126805,2.43484137813062,False
1300,0.0,0.0,0.9293422957130104,0.0,0.0,0.0,0.0280255118314893,0.0,0.0426321924555003,0.0,0.0,0.0,7.15,2.8099341400424724,2.439929178728562,False
1317,0.0,0.0,0.8511095594652344,0.0,0.0,0.0904130393491921,0.0,0.0,0.0584774011855734,0.0,0.0,0.0,6.5,2.773053984200556,2.3962479623045607,False
1321,0.0,0.0,0.8635828043406732,0.0780373725687724,0.0,0.0,0.0583798230905543,0.0,0.0,0.0,0.0,0.0,11.015,2.806422016536548,2.3998127598259598,False
1335,0.0,0.014665976294566,0.8384074803587461,0.0,0.0,0.0,0.0,0.0,0.0,0.1469265433466878,0.0,0.0,11.35,2.8333617311891817,2.4219443765396576,False
1348,0.0,0.0,0.9616010948433724,0.0,0.0,0.0,0.0,0.0,0.036302997591434,0.0,0.0020959075651937,0.0,6.835,2.7988480932069084,2.428629463245441,False
1367,0.0,0.0365677264192732,0.9225760178358422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408562557448845,0.0,8.465,2.7642029643650643,2.378775779608839,False
1375,0.0,0.0,0.833823077720747,0.0,0.0,0.0998254009543851,0.0,0.0,0.0663515213248678,0.0,0.0,0.0,7.5,2.771777519374293,2.390096286600381,False
1396,0.0,0.0,0.770828193903248,0.0,0.1512776125889139,0.077894193507838,0.0,0.0,0.0,0.0,0.0,0.0,6.5550000000000015,2.7639156777519807,2.3407755069649383,False
1403,0.0,0.0,0.7645310294090601,0.0,0.1109266048931069,0.0,0.0,0.0,0.0,0.1245423656978329,0.0,0.0,13.055,2.830147490074027,2.380352727775413,False
1414,0.0,0.0,0.7894159599062068,0.0,0.0894326148967796,0.0,0.0,0.0,0.0,0.1211514251970135,0.0,0.0,11.575,2.8287772796093287,2.3927897636548208,False
1428,0.0,0.0,0.9555800943342624,0.0,0.0,0.0,0.002739952934894,0.0,0.0416799527308434,0.0,0.0,0.0,7.915,2.8021896531642487,2.428077900052104,False
1444,0.0,0.0,0.7735814328217118,0.0,0.0955032593253732,0.0,0.0,0.0,0.0,0.1309153078529149,0.0,0.0,12.330000000000002,2.831885379016432,2.389074573807293,False
1457,0.0072706164073728,0.0,0.9235647560935688,0.0,0.0,0.0,0.0,0.0,0.0691646274990584,0.0,0.0,0.0,11.4,2.8072169721499547,2.4115901487828366,False
1478,0.0,0.0,0.9673547074104588,0.0,0.0,0.0,0.0,0.0,0.0310014033761002,0.0,0.0,0.0016438892134407,6.15,2.799045319903233,2.432071404653144,False
1483,0.0,0.0,0.9065866323850412,0.0,0.0,0.0189213647147661,0.0,0.0,0.0744920029001927,0.0,0.0,0.0,13.0,2.8034489400355787,2.4061233095059595,False
1503,0.0,0.0193563315325962,0.8468420319096448,0.0,0.0,0.0,0.0,0.0,0.0,0.1338016365577589,0.0,0.0,12.24,2.828654175613317,2.415313904353994,False
1508,0.0,0.0368133391485371,0.8446641357668352,0.0,0.0,0.1185225250846275,0.0,0.0,0.0,0.0,0.0,0.0,6.049999999999999,2.7417407467275483,2.363314821042559,False
1517,0.0,0.0,0.8959806948978914,0.0,0.0,0.0,0.0519171269782217,0.0,0.0521021781238867,0.0,0.0,0.0,7.97,2.8195913642133745,2.446961982270185,False
1537,0.0,0.0214221091165618,0.9697103667294512,0.0,0.0,0.008867524153987,0.0,0.0,0.0,0.0,0.0,0.0,6.75,2.783794548040747,2.413147844259687,False
1569,0.0,0.0173664811478329,0.9725258467343896,0.0,0.0,0.0,0.0,0.0,0.0101076721177772,0.0,0.0,0.0,7.8,2.790345453608604,2.416420012214263,False
1571,0.0,0.0085973394104393,0.9729351469586665,0.018467513630894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.788601827172009,2.4163981116430344,False
1585,0.0,0.0,0.7943972520693281,0.0,0.1756341734189171,0.0,0.0299685745117547,0.0,0.0,0.0,0.0,0.0,11.125,2.8015052106567637,2.360605046071347,False
1609,0.0,0.0,0.957143402853586,0.0,0.0,0.0,0.0,0.0,0.0365296227088617,0.0,0.0063269744375524,0.0,6.505,2.7967648109596803,2.4270511432336628,False
1615,0.0,0.0219657585245993,0.9635674829990402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144667584763604,0.0,6.095,2.779612113017566,2.409514643709345,False
1620,0.0,0.0335680341080563,0.9056402897126812,0.0,0.0,0.0607916761792623,0.0,0.0,0.0,0.0,0.0,0.0,8.1,2.7632058731297287,2.3823709015720147,False
1626,0.0,0.0,0.96826169976722,0.0,0.0,0.0,0.0,0.0008071804141104,0.0309311198186694,0.0,0.0,0.0,6.132,2.798714601149224,2.431664783112834,False
1628,0.0,0.0,0.9042536500458818,0.0,0.0540252854866577,0.0,0.0,0.0,0.0417210644674604,0.0,0.0,0.0,11.685,2.802200229881916,2.395659023513986,False
1644,0.0,0.0173068119587328,0.9802895996555102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024035883857569,6.025,2.788445223426294,2.4216224333493965,False
1649,0.0,0.0,0.7982659835813799,0.0,0.1267027772313197,0.0,0.0,0.0,0.0,0.0750312391873003,0.0,0.0,12.155,2.8150851945673456,2.372420184590683,False
1654,0.0,0.0,0.89174408673214,0.0672107029819323,0.0,0.0,0.0410452102859275,0.0,0.0,0.0,0.0,0.0,9.925,2.801410064511833,2.4018618462197545,False
1664,0.0,0.0,0.8895084323757627,0.0,0.0,0.0,0.0608794312316704,0.0,0.0496121363925667,0.0,0.0,0.0,7.215,2.821564424879745,2.452536784723036,False
1669,0.0,0.0,0.8910713312262902,0.0763080369542001,0.0,0.0,0.0326206318195095,0.0,0.0,0.0,0.0,0.0,11.78,2.798816318612078,2.388943759887481,False
1675,0.0,0.0307031130458858,0.9569165458006612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123803411534531,0.0,9.16,2.7794554343218216,2.397324820537933,False
1695,0.0,0.0,0.964548238982148,0.0278938274482804,0.0,0.0,0.0,0.0,0.0075579335695715,0.0,0.0,0.0,6.300000000000001,2.791756483762562,2.416297725487804,False
1704,0.0,0.0,0.8813048046951824,0.0,0.0,0.0,0.0,0.0,0.0612185391850696,0.0574766561197479,0.0,0.0,13.8,2.824472947938526,2.415925826865302,False
1710,0.0,0.0,0.9676741659970144,0.0,0.0,0.0,0.0,0.0013473602744475,0.0309784737285378,0.0,0.0,0.0,6.22,2.7989084890198304,2.4314392016650124,False
1722,0.0,0.0,0.8160413311670326,0.0,0.1736112044506657,0.0,0.0,0.0,0.0,0.0,0.0103474643823016,0.0,11.235,2.787358003624933,2.3435829873002083,False
